username,language
User:Ogat,"['pt-BR', 'en-3']"
User:Egil,"['no', 'en-3', 'nn-3', 'da-1', 'sv-1', 'de-1']"
User:RetroCraft314,"['en', 'fr-2']"
User:Monniasza,"['en-3', 'pl', 'de-1']"
User:Teseo,"['it-N', 'en-1', 'la-1', 'fr-2']"
User:VulcanSphere,"['nl-3', 'id', 'en-4', 'ja-2']"
User:OnBeyondZebrax,['en']
User:Mhare,"['bs', 'sh-4', 'en-2']"
User:Jorge Stolfi,"['pt', 'vec', 'en-3', 'es-2', 'it-2', 'fr-1']"
User:Sailoratlantis,"['pt-BR', 'simple-4']"
User:Tukulti65,"['it', 'en-3']"
User:Akumiszcza,"['pl', 'en-3']"
User:Rosguill,"['es', 'en', 'de-3', 'fr-3', 'it-3', 'yi-3', 'ru-2', 'he-2', 'tr-2', 'ca-2', 'ja-1', 'vi-1', 'ar-1']"
User:Weatherextremes,"['el', 'en-5']"
User:Leo hk1123,['en-2']
User:Relic5064,"['zh', 'en-2', 'ru-1', 'ja-1']"
User:GhanimSharifi,"['en', 'ar', 'fr-5', 'fa-3', 'it-3', 'ku-3', 'ckb-3', 'mt-4']"
User:Secretaria,"['pt', 'en-4']"
User:Piotr Bart,"['pl', 'en-3', 'simple-4', 'ru-2']"
User:Varavour,"['en', 'fr-2', 'am-1']"
User:Yihyetov,"['en-3', 'ru', 'yi-4', 'uk-1', 'he-1']"
User:Verosaurus,['id']
User:AtlanteanAstorian,"['en-4', 'pt-5', 'es-1']"
User:Yivan000,"['en-4', 'tl-4', 'ilo-2']"
User:Yair M,['en-3']
User:Bkissin,"['en', 'fr-3', 'he-1']"
User:Robertsky,"['en', 'en-sg', 'zh-3', 'ja-1', 'ko-1']"
User:Hammad,"['ur', 'hi-3', 'he-1', 'pnb-4']"
User:Manudouz,"['fr', 'en-3']"
User:Peter Isotalo,"['sv', 'en-4', 'no-2', 'da-2', 'de-2', 'ru-1', 'nl-1', 'es-1', 'zh-1', 'ja-1']"
User:NaidNdeso,"['id', 'jv', 'en-3', 'fr-3', 'nl-2']"
User:Llewee,['en']
User:Saintfevrier,"['en', 'el']"
User:TCY,"['fr', 'en-3']"
User:Chaetodipus,"['en', 'eo-2', 'es-2', 'de-1']"
User:Franklyzzm,"['zh', 'en']"
User:Ivan Humphrey,"['id', 'en-3', 'ms-3', 'de-1', 'fr-1', 'min-2', 'jv-2', 'bug-2', 'ace-1', 'bjn-1', 'su-1', 'zh-2']"
User:Ruwaym,"['ar', 'fa-4', 'ckb-1', 'en-2']"
User:MaqsoodPoovadka,['ml']
User:Sentausa,"['id', 'en-3', 'fr-1']"
User:Laketown,"['da', 'sv-2', 'de-1', 'en-3']"
User:Telikalive,"['en-4', 'fr-N']"
User:Memelord0,"['ar', 'en-3']"
User:Yakudza,"['uk', 'ru-3', 'en-1']"
User:Pdekyvere,"['de-2', 'en-3', 'nl', 'fr-3', 'vls', 'it-1', 'es-1']"
User:Kevjassintkevin,"['sq', 'en-3', 'de-1', 'it-1']"
User:PubliusJ,"['es', 'en', 'fr-3', 'lad-2', 'ca-2', 'it-1']"
User:MrInfo2012,"['fa', 'en-3']"
User:Terramorphous,['en']
User:Matbla1,"['fr', 'en-5', 'nl-3', 'de-2', 'es-1', 'ja-0', 'ru-0']"
User:BobEret,"['en-N', 'de-2', 'es-2']"
User:Battleofalma,"['da-2', 'no-1', 'pl-1', 'fr-3', 'it-2']"
User:Cocô53,"['fr', 'it', 'en-4', 'eo-3', 'pt-2', 'de-1', 'eu-1', 'cy-0']"
User:Tacomatron,['en-gb']
User:Briantin de Montrei,"['en', 'fr-2', 'oc-2', 'ca-1', 'es-1', 'frp-1', 'it-1', 'sco-1']"
User:Uffda608,"['en', 'da-2', 'es-2']"
User:Emigré55,"['fr', 'en-4', 'de-4', 'ru-2']"
User:Balajijagadesh,"['ta', 'en-3', 'ta-N', 'hi-2', 'te-1']"
User:YTRK,"['ja', 'en-4']"
User:Golden,"['en-5', 'az', 'tr-4', 'ru-3', 'fr-1']"
User:Anjen01,"['en-4', 'sq', 'fr-3', 'el-2', 'it-1', 'ja-0']"
User:Aesuithiel,"['fa', 'en-5']"
User:Bsskchaitanya,"['te', 'en', 'ta', 'hi-5', 'sa-5', 'fr-5', 'kn-3', 'ml-3', 'ur-2', 'fi-1']"
User:Tcr25,"['en-N', 'de-2', 'es-2', 'fr-2', 'ca-1', 'da-1', 'nl-1', 'no-1', 'sv-1', 'is-0', 'ru-0']"
User:Ȝeſtikl,"['en', 'zh-2', 'es-1']"
User:Berke330,"['en-4', 'fr-3', 'tr', 'el-1']"
User:DHN,"['en-5', 'en-4', 'vi', 'vi-3']"
User:RuthStevens,"['en', 'he', 'hu']"
User:PointlessUsername,"['th', 'en-4', 'de-1']"
User:Yann,"['fr', 'en-4', 'hi-2', 'gu-1']"
User:Daniel the Monk,"['en', 'es', 'fr-3', 'la-3', 'de-2', 'it-2', 'pt-1']"
User:David1907hif,"['sv', 'en-4']"
User:Demoxica,"['tr', 'en', 'fr-4', 'it-1']"
User:Docentation,"['en-gb', 'fr-2', 'es-1', 'la-1']"
User:عماد الدين المقدسي,['en-4']
User:Glomerata,"['cs', 'en-2']"
User:Chrisrabinson,"['en', 'ar-2', 'de-2', 'fa-5', 'la-1', 'tr-1', 'tg-3']"
User:Kutay,['tr']
User:Vicharam,['ml']
User:Zio27,"['it', 'vec-1', 'en-2']"
User:NeilAppleton,"['en', 'hu']"
User:Berchanhimez,"['en', 'es-3']"
User:Kulawik.pl,"['pl', 'en-3', 'de-1']"
User:Sdkb,['en-5']
User:Robot8A,"['es-N', 'en-5', 'de-2', 'ca-2', 'el-1']"
User:Alicewriteswrongs,"['fr-3', 'es-2']"
User:Manchesterunited1234,"['fr-2', 'en-2', 'es-1']"
User:Colin dm,"['en', 'pt-2']"
User:Ahmetlii,"['en-3', 'tr', 'az-4', 'ku-1']"
User:Ponor,"['hr', 'en-4', 'sr-3', 'bs-3', 'de-2', 'it-1', 'ru-1']"
User:Purin128AL,"['en-4', 'zh-4']"
User:Lou Crazy,"['it', 'en-4', 'fr-3', 'es-1', 'la-1', 'eo-0']"
User:Ajeeshkumar4u,"['ml', 'hi-2', 'ta-1']"
User:Jay Hodec,['sl']
User:BunnyyHop,"['en', 'ru-2']"
User:Oaktree b,['en-ca']
User:Firestar464,['en-5']
User:Kevo327,"['hy', 'hy-wst', 'ar-5', 'en-5', 'fr-3', 'de-2', 'es-1']"
User:Amir Ghandi,"['fa', 'en-5']"
User:Intforce,"['de', 'en-4', 'zh-3', 'ja-1', 'fr-1']"
User:NewManila2000,['simple']
User:Carigval.97,['es']
User:Ziad Rashad,"['ar- in english', 'en-5']"
User:Samwilson,['en']
User:Redtree21,"['en', 'fr-3', 'de-1', 'gd-1']"
User:Mateussf,"['pt-3', 'en-2']"
User:Armatura,"['hy', 'ru-5', 'en-5', 'la-1', 'es-1', 'az-1']"
User:Leejordan9,"['en', 'en-5', 'fr-3', 'la-3', 'de-2', 'it-1', 'el-1', 'fa-1']"
User:LinguineFusilli,"['da', 'en-4', 'de-2', 'lv-2']"
User:Wiki.editAnshu,"['en-3', 'as', 'hi-3', 'mr-1']"
User:ActuallyNeverHappened02,"['en', 'te-1']"
User:A455bcd9,"['fr', 'en-4', 'zh-2', 'oc-2', 'de-1', 'tr-1', 'ru-1', 'es-1']"
User:Hiwilms,"['en', 'tl', 'es-1', 'ko-1']"
User:Unnamelessness,"['zh', 'en-3']"
User:JuthaDDA,"['ja', 'en-2', 'fr-1']"
User:Digiulio8,"['en', 'pt-2', 'es-1']"
User:Shahramrashidi,"['en-3', 'fa-N']"
User:AbhigyaDahal,"['en-4', 'ne-N', 'hi-4', 'es-2']"
User:Makkkkus,['en-3']
User:Kreb,"['en-N', 'fr-3', 'de-2', 'it-2', 'es-1', 'nl-1']"
User:EdH,['en']
User:Germenfer,"['es-N', 'en-4', 'fr-2']"
User:Emplexis,"['en', 'de-3', 'la-3', 'sa-2']"
User:AndreyKva,"['ru', 'en-5']"
User:Evan0512,"['en', 'zh', 'es-4', 'fr-2', 'pl-1', 'ja-3']"
User:Chucheraya20,"['en-3', 'es']"
User:Pranayraj1985,['te-3']
User:Paraphernalia,"['fr', 'en-3', 'de-1', 'it-1']"
User:ReyAlvarez2,"['es', 'en-2']"
User:Econterms,"['en', 'fr-2', 'de-1']"
User:Justiyaya,"['zh-3', 'fr-0']"
User:07,"['tr', 'en-5', 'de-5', 'fr-2']"
User:AquitaneHungerForce,"['en', 'es-2', 'pt-1', 'la-1', 'de-1', 'ca-0']"
User:Cauan Vinícius,"['pt', 'en-4']"
User:Cantsayhellotoyou,"['fa', 'en-4']"
User:KenBailey,"['en', 'fr-3']"
User:Kuriosatempel,"['sv', 'en-3']"
User:Rhodonaus,"['pt-4', 'es']"
User:Whopeehere,"['my', 'en-2']"
User:Revolution Saga,"['en-N', 'es-2', 'hy-5', 'ru-2']"
User:Mzajac,"['en', 'uk-2', 'fr-1']"
User:Brankom,"['sk', 'en-2', 'cs-3', 'hu-3', 'ru-1']"
User:Niki 24,"['uk', 'ru-4', 'en-4', 'pl-2']"
User:Kasper2006,"['it-N', 'en-3', 'es-2', 'fr-1']"
User:MaximusWikipedian,"['en-5', 'es-N']"
User:Daniel abdullah,"['ar-2', 'en-4', 'ckb']"
User:Stars&Stuff553,"['en-N', 'zh-1']"
User:Cal1407,"['id', 'ms-3', 'en-3', 'zh-2', 'jv-1']"
User:Tigerency25,['en-3']
User:LuisCG11,"['es', 'en-3']"
User:Tarawneh,"['en', 'ar', 'de-1']"
User:Baah Thomas,['en']
User:Gjdhowls,"['zh', 'en-3', 'ms-2']"
User:Neumannk,"['en', 'nl-4']"
User:3PPYB6,"['en-N', 'es-2', 'zh-1', 'ru-1']"
User:Skytheunicorn,"['en', 'es-3', 'pt-3', 'ar-1']"
User:Objectivesea,"['en-5', 'eo-3', 'fr-2', 'de-1', 'da-1', 'no-1']"
User:Jonathan Archer,"['en-3', 'ro']"
User:RockyMasum,['bn']
User:Mcvti,['en-N']
User:PenangLion,"['zh-5', 'en-5', 'ms-4']"
User:C messier,"['el', 'en-3', 'fr-2']"
User:Sahaib,['en']
User:EytanMelech,"['en-N', 'fr-2']"
User:RedPanda25,['en']
User:Haidit,['th']
User:IshChasidecha,['en-us']
User:Normchou,['wuu']
User:Paleorthid,"['en', 'ru-0']"
User:Firespeaker,"['en', 'ru-3', 'ky-3', 'kk-3', 'fr-3', 'es-3', 'mn-2', 'uz-2', 'tt-2', 'yi-2', 'tr-2']"
User:ZeroApocalypse,"['en-3', 'zh-yue']"
User:Richard923888,"['zh-N', 'zh-yue-N', 'gan-2', 'en-3', 'ja-1', 'ko-0']"
User:BlueBlack,"['fa', 'en-4', 'es-4']"
User:William Surya Permana,"['id', 'en-3']"
User:AlexExpensive,"['es-N', 'en-2', 'fr-1']"
User:Pikaryaa,"['en', 'ja-2']"
User:Airtransat236,"['fr', 'en-4', 'es-1']"
User:Liaton9000,['en']
User:NiCh-919735,"['en-4', 'ru-N', 'uk-N']"
User:Tobias1984,"['de', 'en', 'es-1']"
User:BiblioQC,"['fr', 'en', 'ca-2', 'pt-1', 'ru-1', 'es-1']"
User:Petewarrior,"['id', 'ja-1', 'ru-1']"
User:Artem.G,"['en-5', 'ru-N', 'be-N', 'he-1']"
User:Etriusus,['en']
User:Nihonfreak,"['es', 'en-4', 'ja-2', 'fi-1']"
User:Spodle,"['en', 'tl-3', 'ko-0', 'de-0']"
User:Mufti Nasution,"['id', 'en-2', 'ar-1', 'ms-3']"
User:Ilenart626,['en']
User:CarrotPieFI,"['en', 'fi-2', 'fr-0']"
User:Golem08,"['en', 'fr-2']"
User:Yollug tigin,"['tr', 'en-4', 'fr-1']"
User:PoetishBookwormus,"['en', 'fr-5', 'es-3', 'sw-1']"
User:Ethanbas,"['en', 'ru-4', 'he-4', 'es-1']"
User:AT44,"['sq', 'en-4', 'de-3']"
User:NATNUN,"['es', 'en-3']"
User:Areumin,"['en', 'tl', 'es-2', 'ko-1']"
User:Ser!,"['ga-5', 'en-5']"
User:Drenisa,"['sq', 'en-3', 'bs-3', 'sh-3', 'it-1']"
User:Nyansama02,"['en', 'ms']"
User:Franco el estudiante,"['es', 'en-3', 'de-1', 'it-1', 'ru-1', 'pt-1']"
User:Janka1410,"['be', 'ru', 'en-3']"
User:Metuboy,"['es-5', 'en-4', 'tr-5']"
User:Lasha-george,"['ka', 'en-2', 'ru-3']"
User:AdmiralAckbar1977,['en-N']
User:Andor127,"['hu', 'en-5', 'sr-3', 'de-1']"
User:Nightdevil,"['fa', 'en-3', 'fr-1', 'ar-1']"
User:Dousaer,"['nl', 'en-4']"
User:BetweenCupsOfTea,['ar']
User:Michael pirrello,['en']
User:Mosvi2014,['en']
User:Bujsaran,"['en', 'th']"
User:Actualcpscm,"['en', 'de', 'it-3']"
User:Aholtman,"['de', 'nds-3', 'en-3', 'fr-2', 'ru-2', 'la-1']"
"User:Cow me, please!","['en', 'he', 'fr-4']"
User:Balonlon,"['en-5', 'he-4', 'nl-4']"
User:TheManishPanwar,"['hi', 'hi-5', 'sa-1', 'en-3']"
User:Fats40boy11,['en']
User:Mhorg,"['it-N', 'en-2', 'ru-1']"
User:Atsumoo,"['en-N', 'ja-2']"
User:Western.galilee,"['en-4', 'de', 'ar-2', 'fr-1']"
User:Olympian,"['en', 'ru-5', 'hy-4', 'fr-2']"
User:Pichemist,"['mt', 'en-5', 'de-2']"
User:IXCat,"['es', 'gl', 'en-5', 'pt-2', 'fr-1']"
User:Meganenohito,"['ja', 'en-2']"
User:Pianolettuce,"['en', 'es-2', 'ru-1']"
User:ZeldagamerPT,"['pt-PT', 'en-4']"
User:BlueCanOfPeas,['en']
User:Oli2000s,['es-mx']
User:Frecks,"['en', 'it-2']"
User:Joi,"['en', 'ja-2']"
User:Gaioa,"['en-5', 'sv', 'da-1', 'no-1', 'de-1', 'ja-0']"
User:Tidjani Saleh,"['es', 'en-4', 'fr-3', 'ar-2', 'ca-2', 'eo-1']"
User:Magawla61,"['en-3', 'tr-4', 'nl-2', 'de-2']"
User:MaterialWorks,['bar']
User:Cestgeorge,"['bar', 'fr', 'en-4']"
User:Maniakilljoy97,"['it', 'en-3']"
User:Lkitrossky,"['ru', 'he-2', 'en-3']"
User:Clyde H. Mapping,['en']
User:Graearms,"['en', 'de-1']"
User:Giosal,"['ka', 'ru-4', 'en-4', 'fr-3']"
User:BaduFerreira,"['pt', 'en', 'es-1', 'fr-0', 'id-0']"
User:AlbusTheWhite,['fr-3']
User:CareAhLine,['es-3']
User:Fahads1982,['ur']
User:SandeepKumarMeena,['hi']
User:Maxime12346,"['fr', 'en-4']"
User:Misha Wolf,"['en', 'cs-1']"
User:Candleblox,"['en-N', 'ja-N']"
User:PaulGamerBoy360,"['en-us', 'en']"
User:63616e,"['en', 'tr', 'fr-0', 'es-0', 'de-0', 'nl-0', 'pt-0']"
User:Losipov,['en-N']
User:Lisenka92,"['pl', 'en-4']"
User:EvoSwatch,['id']
User:Mellamelina,['en']
User:ElementSix,"['bg', 'en-4', 'de-2']"
User:Ted52,"['de', 'en-5', 'fr-1', 'la-1']"
User:OttawaPoliticsGuy,"['en', 'de-3', 'fr-2']"
User:ABF992,"['es-3', 'it-2', 'fr-3', 'en']"
User:Hakimi97,"['en-2', 'ms', 'zh']"
User:Arcoria,"['en-5', 'fr-5', 'it-3', 'es-3', 'la-1']"
User:Porantim,"['pt', 'en-2', 'es-1', 'gl-1', 'fr-0']"
User:Kline,"['en-N', 'fr-1']"
